Date,Open,High,Low,Close,Adj Close,Volume
2018-05-02,22568.189453,22568.189453,22426.550781,22472.779297,22472.779297,70700
2018-05-03,null,null,null,null,null,null
2018-05-04,null,null,null,null,null,null
2018-05-07,22513.220703,22513.480469,22350.910156,22467.160156,22467.160156,69000
2018-05-08,22440.650391,22566.679688,22423.230469,22508.689453,22508.689453,77000
2018-05-09,22463.009766,22478.640625,22364.750000,22408.880859,22408.880859,86000
2018-05-10,22482.509766,22530.640625,22418.750000,22497.179688,22497.179688,73300
2018-05-11,22573.949219,22769.160156,22545.470703,22758.480469,22758.480469,80200
2018-05-14,22705.300781,22894.759766,22683.640625,22865.859375,22865.859375,68900
2018-05-15,22889.470703,22912.060547,22805.720703,22818.019531,22818.019531,86400
2018-05-16,22730.119141,22796.140625,22695.839844,22717.230469,22717.230469,80200
2018-05-17,22820.619141,22887.029297,22799.160156,22838.369141,22838.369141,75600
2018-05-18,22907.199219,22954.189453,22867.300781,22930.359375,22930.359375,65300
2018-05-21,22937.580078,23050.390625,22935.310547,23002.369141,23002.369141,59100
2018-05-22,23025.949219,23031.669922,22952.869141,22960.339844,22960.339844,59400
2018-05-23,22868.789063,22949.730469,22649.849609,22689.740234,22689.740234,75000
2018-05-24,22621.289063,22644.689453,22366.599609,22437.009766,22437.009766,85600
2018-05-25,22380.220703,22509.359375,22318.150391,22450.789063,22450.789063,70400
2018-05-28,22488.949219,22547.669922,22410.910156,22481.089844,22481.089844,52900
2018-05-29,22431.949219,22439.099609,22240.390625,22358.429688,22358.429688,59800
2018-05-30,22051.970703,22079.230469,21931.650391,22018.519531,22018.519531,90500
2018-05-31,22163.400391,22254.419922,22098.000000,22201.820313,22201.820313,132400
2018-06-01,22126.250000,22316.910156,22098.039063,22171.349609,22171.349609,82500
